pseudoprofile_id,n_errors,n_warnings,errors_joined,warnings_joined,stat_study_days,stat_momentary_prompts_per_day,stat_expected_total_prompts,stat_computed_total_prompts,stat_computed_total_daily_diary_entries,stat_total_expected_observations,stat_n_criteria,stat_n_predictors,stat_n_total_variables,stat_gvar_T_over_K,stat_n_edges,stat_n_relevance_pairs,stat_expected_relevance_pairs
pseudoprofile_FTC_ID002,0,0,,,28,5,140,140,28,168,6,8,14,10.0,5,48,48
pseudoprofile_FTC_ID009,0,0,,,28,5,140,140,28,168,6,8,14,10.0,6,48,48
pseudoprofile_FTC_ID035,0,1,,predictor_variables[5] 'P06': EMA_self_report item_or_signal does not look like an explicit question.,28,6,168,168,28,196,6,7,13,12.923076923076923,7,42,42
pseudoprofile_FTC_ID008,0,1,,predictor_variables[5] 'P06': EMA_self_report item_or_signal does not look like an explicit question.,28,5,140,140,28,168,6,8,14,10.0,10,48,48
pseudoprofile_FTC_ID018,0,0,,,28,5,140,140,28,168,5,7,12,11.666666666666666,10,35,35
pseudoprofile_FTC_ID015,0,0,,,28,6,168,168,28,196,8,8,16,10.5,7,64,64
pseudoprofile_FTC_ID016,0,0,,,28,5,140,140,28,168,7,8,15,9.333333333333334,9,56,56
pseudoprofile_FTC_ID006,0,1,,gVAR caution: T=42 is < 5*K=65 (K=13). Consider fewer variables or more timepoints.,21,2,42,42,21,63,5,8,13,3.230769230769231,40,40,40
pseudoprofile_FTC_ID041,0,0,,,28,3,84,84,28,112,6,7,13,6.461538461538462,42,42,42
pseudoprofile_FTC_ID007,0,0,,,28,6,168,168,28,196,6,9,15,11.2,54,54,54
